"country","iso3c","year","crecimiento_pbi","pbi_p_c","apertura","formacion_bruta_capital","consumo_gobierno","interes_real","inflacion","poblacion","region","income","deuda_pbi.x","deficit_pbi.x","deuda_pbi.y","deficit_pbi.y"
"Afghanistan","AFG",2017,2.6470032027451,562.769574140988,NA,NA,NA,12.1411782989064,2.40365618765746,2.80833730805469,"South Asia","Low income",8,-0.67,8,-0.67
"Afghanistan","AFG",2020,-2.35110067203466,527.834554499306,46.7098945514103,11.4556283331357,22.1092193573017,NA,6.9629462552564,3.15360920291972,"South Asia","Low income",7.33,-2.24,7.33,-2.24
"Afghanistan","AFG",2023,2.26694373649188,378.06630312259,67.5846651516385,15.2435765521019,21.2145146604881,NA,2.92366213121669,2.13559384981397,"South Asia","Low income",8.26,-1.37,8.26,-1.37
"Albania","ALB",2017,3.28317593330073,4283.98262744437,76.7873817898989,26.2596685681188,11.851016747215,3.40221801971973,2.72506918540461,-0.0919722937442495,"Europe & Central Asia","Upper middle income",71.9,-1.41,71.9,-1.41
"Albania","ALB",2020,-3.31375636888916,4437.65346927974,59.5207118897718,25.1975808136514,13.6673333207542,6.07729489179422,0.0410440719196288,-0.574206959244013,"Europe & Central Asia","Upper middle income",75.38,-6.67,75.38,-6.67
"Albania","ALB",2023,3.93661689192599,5444.93000074979,82.4936825596994,24.0498939278465,12.0464694929138,0.269279912716112,6.0660520944985,-1.14841763771287,"Europe & Central Asia","Upper middle income",57.98,-1.32,57.98,-1.32
"Algeria","DZA",2017,1.49999999895587,4742.90075532529,49.8208161712587,41.5075397965874,18.8290421977276,2.91790627930198,4.93800729574315,2.03200060784518,"Middle East & North Africa","Upper middle income",24.02,-7.55,24.02,-7.55
"Algeria","DZA",2020,-4.99999999908597,4363.68533767783,40.3897565625388,39.0898216851072,19.8031597171656,13.3398767236666,-4.7113839171413,1.71191216459393,"Middle East & North Africa","Upper middle income",45.97,-10.52,45.97,-10.52
"Algeria","DZA",2023,4.10000000005964,4660.40545687895,43.682914195572,32.8153081859397,17.9279465789317,7.08459692087747,0.854841037314543,1.49897601193923,"Middle East & North Africa","Upper middle income",47.66,-5.52,47.66,-5.52
"Andorra","AND",2017,0.346071889630295,39361.0622634329,NA,NA,NA,NA,1.13650934319639,2.16803975005007,"Europe & Central Asia","High income",37.85,3.34,37.85,3.34
