<<<<<<< HEAD
"country","iso3c","year","crecimiento_pbi","pbi_p_c","apertura","formacion_bruta_capital","consumo_gobierno","inflacion","poblacion","region","income","deficit_millones","deficit_pbi","deuda_millones","deuda_pbi","deuda_per_capita"
"Afghanistan","AFG",2020,-2.35110067203466,527.834554499306,46.7098945514103,11.4556283331357,22.1092193573017,6.9629462552564,3.15360920291972,"South Asia","Low income","-452",-2.24,"1.476",7.33,38
"Afghanistan","AFG",2023,2.26694373649188,378.06630312259,67.5846651516385,15.2435765521019,21.2145146604881,2.92366213121669,2.13559384981397,"South Asia","Low income","-235",-1.37,"1.424",8.26,34
"Africa Eastern and Southern","AFE",2017,2.69623782915109,1472.97115180926,52.6203405929284,21.1690286041561,15.4726580433572,6.86381501459532,2.64206728810391,"Aggregates","Aggregates",NA,NA,NA,NA,NA
"Africa Eastern and Southern","AFE",2020,-2.85978392104712,1383.72411941014,50.3840532381096,20.4453733742015,15.175005715421,5.29660923473831,2.69951609745311,"Aggregates","Aggregates",NA,NA,NA,NA,NA
"Africa Eastern and Southern","AFE",2023,1.89130738721937,1412.62538438423,56.9985827061445,20.7410623044245,13.9853417122886,6.92132238472385,2.52081808291359,"Aggregates","Aggregates",NA,NA,NA,NA,NA
"Albania","ALB",2017,3.28317593330073,4283.98262744437,76.7873817898989,26.2596685681188,11.851016747215,2.72506918540461,-0.0919722937442495,"Europe & Central Asia","Upper middle income","-183",-1.41,"9.384",71.9,3.269
"Albania","ALB",2020,-3.31375636888916,4437.65346927974,59.5207118897718,25.1975808136514,13.6673333207542,0.0410440719196288,-0.574206959244013,"Europe & Central Asia","Upper middle income","-1.018",-6.67,"11.511",75.38,4.068
"Albania","ALB",2023,3.93661689192599,5444.93000074979,82.4936825596994,24.0498939278465,12.0464694929138,6.0660520944985,-1.14841763771287,"Europe & Central Asia","Upper middle income","-312",-1.32,"13.701",57.98,5.73
"Algeria","DZA",2017,1.49999999895587,4742.90075532529,49.8208161712587,41.5075397965874,18.8290421977276,4.93800729574315,2.03200060784518,"Middle East & North Africa","Upper middle income","-14.340",-7.55,"45.630",24.02,1.094
"Algeria","DZA",2020,-4.99999999908597,4363.68533767783,40.3897565625388,39.0898216851072,19.8031597171656,-4.7113839171413,1.71191216459393,"Middle East & North Africa","Upper middle income","-17.331",-10.52,"75.742",45.97,1.727
"Algeria","DZA",2023,4.10000000005964,4660.40545687895,43.682914195572,32.8153081859397,17.9279465789317,0.854841037314543,1.49897601193923,"Middle East & North Africa","Upper middle income","-13.684",-5.52,"118.226",47.66,2.572
"Angola","AGO",2017,-0.147212941085755,2911.60084214038,52.2568222278462,23.2423166653967,12.9358193168237,22.6145140271114,3.54061221486272,"Sub-Saharan Africa","Lower middle income","-8.037",-5.75,"84.589",60.49,2.8
"Angola","AGO",2020,-5.63821471714934,2433.37637275564,65.9420289329872,26.4904004984611,8.64793565020863,10.7631052824799,3.26795864914978,"Sub-Saharan Africa","Lower middle income","-1.103",-1.66,"79.257",119.15,2.371
"Angola","AGO",2023,1.07809951970673,2334.66104267184,67.00179327992,23.7790911131562,5.17178248225276,17.6001393484509,3.08065530722915,"Sub-Saharan Africa","Lower middle income","-2.058",-1.83,"81.449",72.41,2.216
"Arab World","ARB",2017,1.60482589556119,6309.55882237984,80.2510490338559,24.1002540879874,18.503396584833,4.82594649481846,2.00626985832883,"Aggregates","Aggregates",NA,NA,NA,NA,NA
"Arab World","ARB",2020,-4.75714499576827,5923.37350684471,75.0892219724699,22.8036097393812,20.5835993933211,-0.283085004100215,2.10294522896747,"Aggregates","Aggregates",NA,NA,NA,NA,NA
"Arab World","ARB",2023,1.5043551993806,6321.01759091735,86.7923295652316,24.1440339215723,16.9931990037174,1.34137848153398,2.25586602644063,"Aggregates","Aggregates",NA,NA,NA,NA,NA
"Argentina","ARG",2017,2.81850297775918,13520.1129846159,25.2896011376779,15.1621987548244,17.6968939223042,26.0063792819079,0.881249595012674,"Latin America & Caribbean","Upper middle income","-43.096",-6.69,"367.180",57.03,8.336
