paises;fecha;deficit_millones;deficit_pbi;deuda_millones;deuda_pbi;deuda_per_capita
España;2023;-56.966;-3,34;1.702.142;105,2;35.003
Alemania ;2023;-113.835;-2,5;2.846.831;62,3;34.112
Reino Unido ;2023;-204.095;-6,05;3.383.060;100,35;49.558
Francia ;2023;-166.511;-5,4;3.355.648;109,8;49.011
Italia ;2023;-166.871;-7,2;3.103.756;133,9;52.632
Portugal ;2023;3.511;1,3;283.211;96,9;26.618
Estados Unidos ;2023;-2.168.838;-7,8;33.328.069;119,84;98.892
Japón ;2023;-95.053;-2,26;10.110.360;240,46;81.219
China ;2023;-1.225.574;-6,71;14.984.180;82,01;10.630
Andorra ;2023;81;2,15;1.343;35,47;15.782
Emiratos Árabes Unidos ;2023;30.403;5,82;166.763;31,91;15.616
Afganistán ;2023;-235;-1,37;1.424;8,26;34
Antigua y Barbuda ;2023;-34;-1,7;1.531;76,33;15.011
Albania ;2023;-312;-1,32;13.701;57,98;5.730
Armenia ;2023;-488;-2,02;12.202;50,45;4.079
Angola ;2023;-2.058;-1,83;81.449;72,41;2.216
Argentina ;2023;-34.583;-5,33;1.003.196;154,6;22.030
Austria ;2023;-13.409;-2,6;401.829;77,8;43.874
Australia ;2023;-22.086;-1,27;863.870;49,58;32.050
Azerbaiyán ;2023;5.737;7,92;15.794;21,81;1.551
Bosnia y Herzegovina ;2023;-461;-1,67;8.001;28,98;2.342
Barbados ;2023;-116;-1,69;7.625;111,48;27.005
Bangladés ;2023;-20.357;-4,51;177.316;39,27;1.041
Bélgica ;2023;-26.413;-4;665.791;102,4;56.341
Burkina Faso ;2023;-1.390;-6,91;11.429;56,82;496
Bulgaria ;2023;-3.107;-2;23.443;22,9;3.637
Baréin ;2023;-4.468;-9,68;56.828;123,02;36.035
Burundi ;2023;-330;-7,7;2.491;58,06;182
Benin ;2023;-813;-4,13;10.805;54,9;766
Brunéi ;2023;-1.639;-10,86;352;2,33;781
Bolivia ;2023;-4.976;-10,95;41.271;90,78;3.402
Brasil ;2023;-168.990;-7,71;1.840.567;84;8.694
Bahamas ;2023;-533;-3,81;11.427;81,68;28.608
Bután ;2023;-137;-4,7;3.374;115,44;4.299
Botsuana ;2023;-812;-4,19;4.363;22,51;1.759
Bielorrusia ;2023;545;0,76;29.237;40,72;3.186
Belice ;2023;-74;-2,42;2.060;67,5;5.098
Canadá ;2023;1.564;0,07;2.340.920;107,71;58.451
República Democrática del Congo ;2023;-1.115;-1,65;18.191;26,98;182
República Centroafricana ;2023;-93;-3,44;1.514;55,64;299
República del Congo ;2023;823;5,81;14.581;102,91;2.376
Suiza ;2023;1.095;0,4;346.130;38,68;38.621
Costa de Marfil ;2023;-4.136;-5,19;45.810;57,53;1.470
Chile ;2023;-7.632;-2,27;132.288;39,42;6.729
Camerún ;2023;-313;-0,64;21.267;43,15;750
Colombia ;2023;-10.708;-2,92;203.133;55,46;3.890
Costa Rica ;2023;-2.813;-3,25;52.874;61,12;10.018
Cabo Verde ;2023;-7;-0,28;2.939;117,52;5.774
Chipre ;2023;575;1,7;24.959;71,1;25.827
Chequia ;2023;-12.887;-3,7;145.692;42,2;13.366
Yibuti ;2023;-135;-3,46;1.388;35,44;1.348
Dinamarca ;2023;13.880;3,4;136.736;33;22.938
Dominica ;2023;-30;-4,52;675;99,92;10.145
República Dominicana ;2023;-3.963;-3,28;73.094;60,51;6.825
Argelia ;2023;-13.684;-5,52;118.226;47,66;2.572
Ecuador ;2023;-4.217;-3,48;65.821;54,33;3.661
Estonia ;2023;-1.297;-2,7;8.337;20,2;6.065
Egipto ;2023;-22.717;-5,77;377.797;95,93;3.591
Eritrea ;2020;-92;-4,36;3.794;179,66;1.153
Etiopía ;2023;-4.153;-2,6;61.887;38,74;481
Finlandia ;2023;-8.808;-2,9;228.796;77,1;40.828
Fiyi ;2023;-374;-7,19;4.333;83,3;4.688
Estados Federados de Micronesia ;2021;17;4,44;66;16,96;688
Gabón ;2023;360;1,79;14.159;70,59;5.698
Granada ;2022;11;0,93;970;79,27;8.512
Georgia ;2023;-717;-2,33;11.980;38,92;3.242
Ghana ;2023;-2.711;-3,37;63.706;79,09;1.885
Gambia ;2023;-83;-3,69;1.801;80,24;681
Guinea ;2023;-852;-3,86;8.914;40,35;619
Guinea Ecuatorial ;2023;294;2,39;4.823;39,09;2.610
Grecia ;2023;-3.290;-1,4;402.277;164,3;38.678
Guatemala ;2023;-1.306;-1,25;28.393;27,21;1.566
Guinea-Bisáu ;2023;-163;-8,15;1.592;79,39;739
Guyana ;2023;-979;-5,78;4.509;26,65;5.456
Hong Kong ;2023;-21.954;-5,65;24.590;6,33;3.266
Honduras ;2023;-675;-1,96;16.440;47,85;1.569
Croacia ;2023;-668;-0,8;52.199;60,9;13.516
Haití ;2023;150;0,77;5.580;28,46;479
Hungría ;2023;-14.448;-6,8;156.219;73,2;16.299
Indonesia ;2023;-22.512;-1,64;543.001;39,6;1.948
Irlanda ;2023;8.652;1,4;238.728;41,8;44.608
Israel ;2023;-25.960;-5,06;314.860;61,33;31.982
India ;2023;-288.024;-7,92;2.955.574;81,23;2.055
Irak ;2023;-3.089;-1,14;113.948;42,08;2.528
Irán ;2022;-10.640;-2,83;138.934;36,93;1.636
Islandia ;2023;-721;-2,3;19.498;61,55;50.833
Jamaica ;2023;8;0,04;14.333;73,36;5.047
Jordania ;2023;-3.523;-6,89;45.542;89,02;4.017
Kenia ;2023;-6.182;-5,71;79.429;73,41;1.435
Kirguistán ;2023;241;1,59;6.371;41,95;897
Camboya ;2023;-1.199;-2,83;11.143;26,28;655
Kiribati ;2023;1;0,13;33;11,42;266
Comoras ;2023;-18;-1,34;381;28,71;448
San Cristóbal y Nieves ;2023;-3;-0,28;591;55,72;12.631
